NTD ID,Agency,Mode,TOS,UZA Name,1/2019,2/2019,3/2019,4/2019,5/2019,6/2019,7/2019,8/2019,9/2019,10/2019,11/2019,12/2019,1/2020,2/2020,3/2020,4/2020,5/2020,6/2020,7/2020,8/2020,9/2020,10/2020,11/2020,12/2020,1/2021,2/2021,3/2021,4/2021,5/2021,6/2021,7/2021,8/2021,9/2021,10/2021,11/2021,12/2021,1/2022,2/2022,3/2022,4/2022,5/2022,6/2022,7/2022,8/2022,9/2022,10/2022,11/2022,12/2022,1/2023,2/2023,3/2023,4/2023,5/2023,6/2023,7/2023,8/2023,9/2023,10/2023,11/2023,12/2023
10042.0,Valley Transit District,DR,DO,"Bridgeport--Stamford, CT--NY","4,119 ","3,804 ","3,921 ","4,249 ","4,631 ","3,866 ","3,764 ","4,107 ","3,900 ","4,522 ","3,722 ","3,639 ","4,085 ","3,808 ","2,699 ","1,102 ","1,293 ","2,016 ","2,400 ","2,565 ","3,056 ","3,080 ","2,549 ","2,332 ","2,351 ","2,266 ","3,005 ","2,976 ","2,990 ","3,176 ","3,145 ","3,311 ","3,352 ","3,421 ","3,199 ","3,394 ","2,876 ","3,130 ","3,829 ","3,770 ","4,006 ","4,306 ","4,124 ","4,478 ","4,011 ","4,259 ","4,229 ","3,910 ","4,419 ","3,846 ","4,257 ","3,346 ","3,960 ","3,980 ","3,478 ","3,830 ","3,472 ","3,975 ","3,439 ","3,340 "
10045.0,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,CB,PT,"Hartford, CT","18,480 ","16,674 ","18,213 ","19,183 ","20,042 ","18,894 ","19,663 ","19,403 ","18,996 ","20,765 ","17,190 ","16,219 ","19,224 ","17,579 ","11,344 ",981 ,"4,761 ","6,425 ","7,470 ","7,976 ","8,457 ","5,925 ","4,564 ","4,080 ","3,862 ","3,317 ","4,506 ","4,413 ","5,075 ","5,102 ","5,146 ","5,422 ",707 ,120 ,123 ,134 ,147 ,120 ,607 ,759 ,773 ,"2,151 ","6,662 ","9,914 ","12,059 ","12,944 ","14,265 ","13,194 ","15,476 ","15,066 ","16,402 ","10,594 ","14,574 ","11,620 ","10,529 ","11,661 ","11,704 ","13,296 ","12,062 ","10,061 "
10045.0,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,MB,PT,"Hartford, CT","13,013 ","11,338 ","12,326 ","12,515 ","14,344 ","11,738 ","10,881 ","12,698 ","12,203 ","12,609 ","12,748 ","12,077 ","13,549 ","13,717 ","10,035 ","7,097 ","7,987 ","10,257 ","11,163 ","11,464 ","12,798 ","11,136 ","9,056 ","8,220 ","8,226 ","7,075 ","8,789 ","8,529 ","8,645 ","9,605 ","9,532 ","9,479 ","9,520 ","8,905 ","8,561 ","8,555 ","6,896 ","7,103 ","8,704 ","10,831 ","11,751 ","12,982 ","13,251 ","14,928 ","14,279 ","15,676 ","15,277 ","15,556 ","14,027 ","11,743 ","16,258 ","11,291 ","12,214 ","11,898 ","11,334 ","12,758 ","12,227 ","13,206 ","12,522 ","11,602 "
10047.0,"New Britain Transportation Company, Inc.",MB,DO,"Hartford, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048.0,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,MB,DO,"Hartford, CT","1,097,418 ","1,063,035 ","1,169,022 ","1,215,191 ","1,253,232 ","1,149,803 ","1,220,296 ","1,140,768 ","1,231,711 ","1,408,118 ","1,216,230 ","1,092,945 ","1,224,159 ","1,182,542 ","887,653 ","524,151 ","572,271 ","704,350 ","783,365 ","773,927 ","865,286 ","763,206 ","671,689 ","640,572 ","613,779 ","555,044 ","714,196 ","715,945 ","735,262 ","764,999 ","851,721 ","799,656 ","766,047 ","793,451 ","755,709 ","708,495 ","591,183 ","613,235 ","760,157 ","835,911 ","875,588 ","896,750 ","924,812 ","1,053,729 ","1,272,699 ","1,293,440 ","1,258,057 ","1,307,401 ","1,191,163 ","1,121,993 ","1,370,397 ","1,072,238 ","1,075,011 ","1,027,897 ","896,455 ","1,093,728 ","988,447 ","1,077,634 ","964,148 ","869,912 "
10048.0,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,RB,DO,"Hartford, CT","119,802 ","114,762 ","129,125 ","135,723 ","146,355 ","137,586 ","143,784 ","146,058 ","141,083 ","149,287 ","130,736 ","116,789 ","129,087 ","126,493 ","105,079 ","71,489 ","78,059 ","81,238 ","88,030 ","84,293 ","93,191 ","90,140 ","79,640 ","77,009 ","76,326 ","66,726 ","89,233 ","84,594 ","91,241 ","88,208 ","89,058 ","91,060 ","93,711 ","92,786 ","88,450 ","91,745 ","71,913 ","77,497 ","90,827 ","90,007 ","100,326 ","102,526 ","103,366 ","104,609 ","98,019 ","96,960 ","87,842 ","90,584 ","98,083 ","90,824 ","94,850 ","91,214 ","100,638 ","102,654 ","104,936 ","108,088 ","99,059 ","110,933 ","98,963 ","94,526 "
10049.0,Greater New Haven Transit District,DR,DO,"New Haven, CT","18,350 ","17,207 ","19,665 ","19,901 ","20,741 ","18,420 ","19,765 ","20,055 ","19,680 ","21,430 ","19,379 ","18,060 ","20,243 ","18,544 ","13,007 ","6,406 ","7,302 ","9,996 ","12,302 ","13,255 ","14,751 ","13,700 ","11,735 ","11,267 ","11,568 ","10,503 ","14,924 ","14,159 ","14,314 ","15,506 ","15,290 ","15,308 ","15,877 ","16,223 ","15,277 ","15,169 ","12,039 ","12,929 ","15,660 ","17,100 ","17,296 ","17,389 ","16,930 ","18,008 ","18,088 ","18,278 ","17,383 ","16,379 ","16,926 ","16,005 ","18,611 ","15,514 ","16,645 ","15,491 ","15,040 ","16,388 ","15,423 ","16,765 ","15,906 ","14,755 "
10049.0,Greater New Haven Transit District,DR,PT,"New Haven, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10049.0,Greater New Haven Transit District,MB,DO,"New Haven, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10049.0,Greater New Haven Transit District,TB,DO,"New Haven, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050.0,Greater Bridgeport Transit Authority,DR,PT,"Bridgeport--Stamford, CT--NY","8,081 ","7,319 ","7,860 ","8,531 ","8,746 ","8,134 ","8,628 ","8,619 ","8,178 ","9,149 ","8,155 ","7,360 ","7,913 ","7,879 ","5,538 ","2,368 ","2,671 ","3,589 ","4,478 ","4,869 ","5,423 ","5,545 ","4,245 ","4,482 ","4,315 ","4,260 ","5,697 ","5,404 ","5,420 ","5,825 ","5,934 ","6,335 ","6,122 ","6,120 ","5,859 ","5,926 ","4,913 ","5,421 ","6,635 ","6,212 ","6,170 ","6,236 ","5,380 ","5,704 ","5,413 ","5,550 ","5,561 ","5,309 ","5,504 ","5,306 ","6,310 ","5,370 ","6,013 ","6,144 ","5,623 ","6,284 ","5,974 ","6,606 ","6,093 ","6,087 "
10050.0,Greater Bridgeport Transit Authority,MB,DO,"Bridgeport--Stamford, CT--NY","400,305 ","383,506 ","426,175 ","438,086 ","461,919 ","416,952 ","435,627 ","456,172 ","462,984 ","485,902 ","425,025 ","386,141 ","406,047 ","395,349 ","303,467 ","111,339 ","120,936 ","164,744 ","188,292 ","210,048 ","234,409 ","254,310 ","219,007 ","199,683 ","180,049 ","157,701 ","225,651 ","229,462 ","238,307 ","248,465 ","251,637 ","262,712 ","293,480 ","302,464 ","284,264 ","278,680 ","229,180 ","246,755 ","307,076 ","340,464 ","366,859 ","401,702 ","406,684 ","462,709 ","491,933 ","480,305 ","441,491 ","417,923 ","443,456 ","415,341 ","487,410 ","364,430 ","411,550 ","375,853 ","364,095 ","392,288 ","395,831 ","431,434 ","388,292 ","361,297 "
10050.0,Greater Bridgeport Transit Authority,TB,DO,"Bridgeport--Stamford, CT--NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
